                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0522,                 2.3945,                 1.2953,                 0.7316,                0.68837,                0.75272,                0.54629,                 1.0442,                 1.3485,                 1.1072,             0.00020811,             0.00020811,             0.00020811
                      2,                0.97204,                 1.4481,                 1.2225,                 0.8601,                0.78413,                0.86111,                0.54557,                 1.2162,                  1.059,                 1.2404,             0.00040613,             0.00040613,             0.00040613
                      3,                0.95815,                 1.1893,                 1.2068,                0.90015,                0.80409,                0.89919,                0.67856,                 0.9123,                0.75853,                 1.0421,             0.00059385,             0.00059385,             0.00059385
                      4,                 0.9164,                 1.0363,                  1.183,                0.91012,                0.86098,                0.92066,                0.68245,                0.92436,                0.71846,                 1.0623,             0.00057859,             0.00057859,             0.00057859
                      5,                0.89555,                0.95276,                 1.1672,                0.92786,                0.86108,                0.92568,                0.69779,                0.88419,                0.62002,                 1.0316,             0.00057859,             0.00057859,             0.00057859
                      6,                0.86357,                0.87774,                 1.1546,                0.93554,                 0.8734,                0.93109,                0.71896,                0.84032,                0.57723,                 1.0076,             0.00056313,             0.00056313,             0.00056313
                      7,                0.83925,                0.84229,                 1.1391,                0.94574,                0.88596,                0.93855,                0.73322,                0.83015,                0.55758,                0.99293,             0.00054766,             0.00054766,             0.00054766
                      8,                0.82443,                0.80193,                 1.1292,                0.93343,                0.89523,                0.94007,                0.72782,                0.85089,                0.55268,                 1.0001,             0.00053219,             0.00053219,             0.00053219
                      9,                0.81335,                0.77502,                 1.1248,                0.93553,                0.89836,                0.94032,                0.74374,                0.78565,                0.52007,                0.97223,             0.00051672,             0.00051672,             0.00051672
                     10,                0.79199,                0.74773,                 1.1158,                0.96333,                0.89632,                0.94715,                0.74929,                0.79998,                0.50055,                0.97516,             0.00050125,             0.00050125,             0.00050125
                     11,                0.79016,                0.72503,                 1.1102,                0.94967,                0.89729,                0.94737,                 0.7525,                0.76961,                0.48986,                0.95925,             0.00048578,             0.00048578,             0.00048578
                     12,                0.77161,                0.70649,                 1.1031,                0.95774,                0.90442,                0.95541,                0.76538,                0.75859,                0.46799,                 0.9513,             0.00047031,             0.00047031,             0.00047031
                     13,                0.76114,                0.69611,                 1.1001,                0.97408,                0.89224,                0.95557,                0.76132,                0.76756,                0.46714,                0.95382,             0.00045484,             0.00045484,             0.00045484
                     14,                0.75775,                0.66941,                 1.0956,                0.95789,                0.90944,                0.95802,                0.77826,                0.72819,                0.44928,                0.93378,             0.00043937,             0.00043937,             0.00043937
                     15,                0.74748,                0.66667,                 1.0879,                0.95138,                0.92098,                0.95599,                0.77097,                0.75445,                0.44657,                0.94724,             0.00042391,             0.00042391,             0.00042391
                     16,                 0.7348,                0.65384,                 1.0825,                  0.949,                0.93061,                0.95979,                0.78142,                0.71783,                0.42551,                 0.9266,             0.00040844,             0.00040844,             0.00040844
                     17,                0.73361,                 0.6383,                  1.081,                0.96328,                0.91991,                0.95956,                0.78772,                0.71288,                 0.4234,                 0.9275,             0.00039297,             0.00039297,             0.00039297
                     18,                0.71823,                0.62048,                  1.072,                0.95239,                0.92705,                0.95732,                0.78046,                0.71545,                0.41634,                0.92773,              0.0003775,              0.0003775,              0.0003775
                     19,                0.71282,                0.62252,                 1.0705,                0.96672,                0.91962,                 0.9651,                0.78742,                0.70818,                0.40535,                0.92218,             0.00036203,             0.00036203,             0.00036203
                     20,                0.70842,                0.60369,                 1.0677,                0.95771,                0.92136,                0.96453,                0.79064,                0.69217,                0.40202,                0.91361,             0.00034656,             0.00034656,             0.00034656
                     21,                0.69611,                0.59589,                 1.0611,                0.96044,                0.93188,                0.96478,                0.79561,                 0.6944,                0.38808,                0.91004,             0.00033109,             0.00033109,             0.00033109
                     22,                0.69546,                0.58444,                 1.0597,                0.96419,                0.91819,                0.96539,                0.79591,                0.68408,                0.38961,                 0.9123,             0.00031562,             0.00031562,             0.00031562
                     23,                0.67882,                0.57136,                 1.0548,                0.96642,                0.92154,                0.96438,                0.79712,                0.68315,                  0.383,                0.90522,             0.00030016,             0.00030016,             0.00030016
                     24,                0.68092,                0.57032,                 1.0526,                  0.967,                0.92823,                0.96827,                0.80375,                0.67412,                0.37813,                0.90095,             0.00028469,             0.00028469,             0.00028469
                     25,                0.66894,                0.55515,                 1.0486,                0.96921,                0.92656,                0.96398,                0.80365,                0.66554,                0.37844,                0.89419,             0.00026922,             0.00026922,             0.00026922
                     26,                0.66158,                0.54826,                 1.0419,                 0.9736,                0.93264,                0.97089,                0.81079,                0.66514,                0.36538,                0.89706,             0.00025375,             0.00025375,             0.00025375
                     27,                0.64939,                0.53721,                 1.0422,                0.97154,                 0.9321,                0.96969,                0.81327,                0.65734,                0.36292,                0.89603,             0.00023828,             0.00023828,             0.00023828
                     28,                0.64157,                 0.5261,                 1.0366,                0.96823,                 0.9324,                0.96987,                0.81059,                0.66238,                0.36694,                 0.8963,             0.00022281,             0.00022281,             0.00022281
                     29,                0.63827,                0.52628,                 1.0332,                0.97023,                0.93328,                0.97047,                0.81401,                0.65338,                0.35306,                 0.8882,             0.00020734,             0.00020734,             0.00020734
                     30,                0.62943,                 0.5116,                  1.029,                0.96098,                0.94037,                0.97068,                0.81753,                0.64789,                0.35576,                 0.8883,             0.00019188,             0.00019188,             0.00019188
                     31,                 0.6318,                0.34675,                0.98769,                 0.9726,                0.94216,                0.97128,                 0.7454,                0.90762,                0.40927,                 1.0308,             0.00017641,             0.00017641,             0.00017641
                     32,                0.56406,                0.31467,                 0.9544,                0.97674,                0.93951,                0.97163,                0.75323,                0.88952,                0.40067,                  1.021,             0.00016094,             0.00016094,             0.00016094
                     33,                0.51963,                0.29511,                0.93436,                0.97649,                 0.9388,                0.97096,                0.74767,                0.90626,                0.40873,                 1.0373,             0.00014547,             0.00014547,             0.00014547
                     34,                0.48859,                0.28282,                0.91963,                0.97452,                0.94365,                0.97131,                0.73379,                 0.9525,                0.41776,                  1.074,                0.00013,                0.00013,                0.00013
                     35,                0.45491,                0.26947,                0.90566,                0.97827,                0.94028,                 0.9725,                0.73912,                0.94418,                 0.4136,                 1.0784,             0.00011453,             0.00011453,             0.00011453
                     36,                0.42929,                0.25817,                0.89506,                0.98051,                0.93443,                0.97133,                0.73495,                0.94906,                0.41725,                 1.0896,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     37,                 0.4057,                0.24757,                0.88597,                0.97747,                0.93706,                0.97321,                 0.7352,                0.95445,                0.41998,                 1.0979,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     38,                0.38594,                0.23972,                0.87787,                0.97284,                0.93942,                0.97227,                 0.7309,                0.97193,                0.42581,                 1.1139,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     39,                0.36451,                0.23175,                0.86997,                0.97746,                0.93583,                0.97235,                0.73544,                0.96463,                0.42588,                 1.1124,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     40,                0.34991,                0.22491,                0.86557,                0.97626,                0.93926,                0.97112,                0.72788,                0.98763,                0.43384,                 1.1348,             3.7188e-05,             3.7188e-05,             3.7188e-05
